Review_Content,Review_stay_date,Reviewer_name,Rating
"Good service, food was nice, overall a great comfortable stay.

Stayed in April 2024",Stayed in April 2024,Vrunda,9.0
"Maintenance of plumbing and electrical of the room needs checking

Clean, hygiene, well planned

Stayed in April 2024",Stayed in April 2024,Jagdishchandra,9.0
"The swimming pool is built in the parking area, not at all user friendly or cozy.

Beautiful room, good food, friendly staff

Stayed in January 2024",Stayed in January 2024,Sowmya,8.0
"Small rooms, breakfast buffet shud be expanded for business travellers

Clean, good food, efficient

Stayed in March 2024",Stayed in March 2024,Aditya,8.0
"lobby is small

nice cafe and restaurant

Stayed in March 2024",Stayed in March 2024,Sanjay,9.0
"The complimentary coffee was not drinkable, it was horrible. Please just because its complimentary you guys need not make it so bad.

The room was good. Staffs were polite.

Stayed in March 2024",Stayed in March 2024,Zeeshan,7.0
"very good

Stayed in February 2024",Stayed in February 2024,Ankit,7.0
"I am allergic to milk, for a hotel like this I was excepting a milk substitute like Soya etc ., but they did not have one

I liked the Spa!

Stayed in March 2024",Stayed in March 2024,Stanley,8.0
"Cleanliness to be improved 
The shower curtain was dirty
The carpet needed cleaning
Overall very dusty many places

Stayed in March 2024",Stayed in March 2024,Serena,7.0
"It is old hotel

Stayed in March 2024",Stayed in March 2024,Mohammed,7.0
"Compact and clean place with good food and good service

Well and centrally located. The rooms were quite spacious with good air conditioners and well equipped. The linen and the room was very clean and service was good.
Excellent choice for any kind of stay.

Stayed in January 2024",Stayed in January 2024,Lalit,8.0
"N/A

Location is perfect to visit the places nearby.

Stayed in March 2024",Stayed in March 2024,Anushree,8.0
"Nothing Specific

Location and Proximity

Stayed in March 2024",Stayed in March 2024,Jayesh,9.0
"Small room and small reception

Location

Stayed in February 2024",Stayed in February 2024,Mansoor,8.0
"We had to change rooms as the Exec upgraded room had a musky smell every time the AC was turned on

Nice location, modern facilities good breakfast

Stayed in February 2024",Stayed in February 2024,Lad,7.0
"The coffee corner needs to be attended and not be as a on ""call system""

Stayed in February 2024",Stayed in February 2024,Sharad,9.0
"Nothing during trip.

Good in all aspects fom staff to location.

Stayed in February 2024",Stayed in February 2024,Himansu,9.0
"Friendly and helpful staff in every department, room was outstanding…large room and super clean. Great location for shopping

Stayed in February 2024",Stayed in February 2024,Jitendra,9.0
"Expecting some more bakery products in veg menu at breakfast and also at main counter,  rest was all good.

Staff,  location and this is second time I was upgraded to Jr suit from business class,  am really glad for that.

Stayed in February 2024",Stayed in February 2024,Shah,9.0
"Water leaking from basin on floor in bathroom.

Clean, great location, friendly and helpful staff.

Stayed in February 2024",Stayed in February 2024,Kavita,9.0
"Clean and centrally located

Stayed in January 2024",Stayed in January 2024,Nilesh,9.0
"Even though non smoking from bathroom vents can smell smoke from upstairs or neighbours room. 
Breakfast /dinner room over busy and did not give feeling of real Radission.

Location

Stayed in January 2024",Stayed in January 2024,Rajendra,7.0
"nothing to report

clean and spacious room.

Stayed in January 2024",Stayed in January 2024,Francesca,8.0
"nothing everything was as it should be , however a little expensive for Ahmedabad

Excellent Breakfast clean rooms , nice location , friendly staff , no complaints

Stayed in January 2024",Stayed in January 2024,Dinesh,8.0
"Good service, food was nice, overall a great comfortable stay.

Stayed in April 2024",Stayed in April 2024,Vrunda,9.0
"Maintenance of plumbing and electrical of the room needs checking

Clean, hygiene, well planned

Stayed in April 2024",Stayed in April 2024,Jagdishchandra,9.0
"The swimming pool is built in the parking area, not at all user friendly or cozy.

Beautiful room, good food, friendly staff

Stayed in January 2024",Stayed in January 2024,Sowmya,8.0
"Small rooms, breakfast buffet shud be expanded for business travellers

Clean, good food, efficient

Stayed in March 2024",Stayed in March 2024,Aditya,8.0
"lobby is small

nice cafe and restaurant

Stayed in March 2024",Stayed in March 2024,Sanjay,9.0
"The complimentary coffee was not drinkable, it was horrible. Please just because its complimentary you guys need not make it so bad.

The room was good. Staffs were polite.

Stayed in March 2024",Stayed in March 2024,Zeeshan,7.0
"very good

Stayed in February 2024",Stayed in February 2024,Ankit,7.0
"I am allergic to milk, for a hotel like this I was excepting a milk substitute like Soya etc ., but they did not have one

I liked the Spa!

Stayed in March 2024",Stayed in March 2024,Stanley,8.0
"Cleanliness to be improved 
The shower curtain was dirty
The carpet needed cleaning
Overall very dusty many places

Stayed in March 2024",Stayed in March 2024,Serena,7.0
"It is old hotel

Stayed in March 2024",Stayed in March 2024,Mohammed,7.0
"Compact and clean place with good food and good service

Well and centrally located. The rooms were quite spacious with good air conditioners and well equipped. The linen and the room was very clean and service was good.
Excellent choice for any kind of stay.

Stayed in January 2024",Stayed in January 2024,Lalit,8.0
"N/A

Location is perfect to visit the places nearby.

Stayed in March 2024",Stayed in March 2024,Anushree,8.0
"Nothing Specific

Location and Proximity

Stayed in March 2024",Stayed in March 2024,Jayesh,9.0
"Small room and small reception

Location

Stayed in February 2024",Stayed in February 2024,Mansoor,8.0
"We had to change rooms as the Exec upgraded room had a musky smell every time the AC was turned on

Nice location, modern facilities good breakfast

Stayed in February 2024",Stayed in February 2024,Lad,7.0
"The coffee corner needs to be attended and not be as a on ""call system""

Stayed in February 2024",Stayed in February 2024,Sharad,9.0
"Nothing during trip.

Good in all aspects fom staff to location.

Stayed in February 2024",Stayed in February 2024,Himansu,9.0
"Friendly and helpful staff in every department, room was outstanding…large room and super clean. Great location for shopping

Stayed in February 2024",Stayed in February 2024,Jitendra,9.0
"Expecting some more bakery products in veg menu at breakfast and also at main counter,  rest was all good.

Staff,  location and this is second time I was upgraded to Jr suit from business class,  am really glad for that.

Stayed in February 2024",Stayed in February 2024,Shah,9.0
"Water leaking from basin on floor in bathroom.

Clean, great location, friendly and helpful staff.

Stayed in February 2024",Stayed in February 2024,Kavita,9.0
"Clean and centrally located

Stayed in January 2024",Stayed in January 2024,Nilesh,9.0
"Even though non smoking from bathroom vents can smell smoke from upstairs or neighbours room. 
Breakfast /dinner room over busy and did not give feeling of real Radission.

Location

Stayed in January 2024",Stayed in January 2024,Rajendra,7.0
"nothing to report

clean and spacious room.

Stayed in January 2024",Stayed in January 2024,Francesca,8.0
"nothing everything was as it should be , however a little expensive for Ahmedabad

Excellent Breakfast clean rooms , nice location , friendly staff , no complaints

Stayed in January 2024",Stayed in January 2024,Dinesh,8.0
"Food in restaurant was really not good at all ! 
Taste was rather plain
Selection and variety in adequate & surprising 
Preparation was not in line with expectations. 
Also, housekeeping can be much better.... after 1st day, soiled  towel left below sink, only 1 water bottle added.... food crumbs (which i had not eaten) near window !!!

Good big room, great
Location and cordial  staff

Stayed in July 2023",Stayed in July 2023,Jiten,7.0
"Overall a good experience

Stayed in June 2023",Stayed in June 2023,Ajay,9.0
